iter	Passed	Remaining
605	13620	4360
606	13640	4337
607	13663	4314
608	13683	4291
609	13706	4269
610	13728	4246
611	13747	4223
612	13770	4200
613	13792	4178
614	13811	4154
615	13834	4132
616	13856	4109
617	13876	4086
618	13899	4064
619	13923	4042
620	13943	4019
621	13965	3996
622	13988	3974
623	14008	3951
624	14029	3928
625	14049	3905
626	14069	3882
627	14090	3859
628	14110	3835
629	14129	3812
630	14149	3789
631	14170	3766
632	14190	3743
633	14211	3721
634	14233	3698
635	14253	3675
636	14272	3652
637	14294	3629
638	14317	3607
639	14338	3584
640	14360	3562
641	14381	3539
642	14402	3516
643	14425	3494
644	14446	3471
645	14466	3448
646	14486	3425
647	14507	3403
648	14527	3380
649	14546	3356
650	14568	3334
651	14587	3311
652	14608	3288
653	14629	3265
654	14652	3243
655	14673	3221
656	14694	3198
657	14714	3175
658	14734	3152
659	14757	3130
660	14777	3107
661	14798	3084
662	14820	3062
663	14841	3039
664	14860	3016
665	14882	2994
666	14904	2972
667	14925	2949
668	14945	2926
669	14969	2904
670	14991	2882
671	15012	2859
672	15031	2836
673	15052	2813
674	15072	2791
675	15095	2769
676	15116	2746
677	15136	2723
678	15155	2700
679	15177	2678
680	15197	2655
681	15218	2633
682	15238	2610
683	15257	2587
684	15279	2565
685	15299	2542
686	15320	2519
687	15342	2497
688	15364	2475
689	15386	2452
690	15405	2430
691	15426	2407
692	15449	2385
693	15471	2363
694	15490	2340
695	15513	2318
696	15533	2295
697	15553	2272
698	15574	2250
699	15596	2228
700	15616	2205
701	15640	2183
702	15662	2161
703	15682	2138
704	15702	2115
705	15722	2093
706	15742	2070
707	15764	2048
708	15784	2025
709	15804	2003
710	15824	1980
711	15844	1958
712	15864	1935
713	15884	1913
714	15904	1890
715	15924	1868
716	15946	1845
717	15966	1823
718	15988	1801
719	16012	1779
720	16032	1756
721	16052	1734
722	16076	1712
723	16098	1689
724	16120	1667
725	16142	1645
726	16162	1622
727	16182	1600
728	16204	1578
729	16226	1555
730	16245	1533
731	16265	1511
732	16289	1488
733	16309	1466
734	16331	1444
735	16353	1422
736	16373	1399
737	16393	1377
738	16415	1354
739	16437	1332
740	16458	1310
741	16479	1288
742	16500	1265
743	16521	1243
744	16540	1221
745	16564	1199
746	16585	1176
747	16607	1154
748	16629	1132
749	16651	1110
750	16671	1087
751	16692	1065
752	16712	1043
753	16732	1020
754	16752	998
755	16772	976
756	16792	953
757	16812	931
758	16832	909
759	16854	887
760	16876	864
761	16899	842
762	16919	820
763	16940	798
764	16960	775
765	16981	753
766	17003	731
767	17022	709
768	17042	687
769	17062	664
770	17082	642
771	17101	620
772	17120	597
773	17140	575
774	17162	553
775	17182	531
776	17205	509
777	17226	487
778	17246	464
779	17267	442
780	17289	420
781	17311	398
782	17331	376
783	17352	354
784	17372	331
785	17394	309
786	17416	287
787	17436	265
788	17457	243
789	17477	221
790	17501	199
791	17524	177
792	17549	154
793	17570	132
794	17593	110
795	17616	88
796	17641	66
797	17662	44
798	17684	22
799	17707	0
