DIABETES,HIPERTENSION,death_rate,n,features,combo,OBESITY,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
,,0.17439159135337282,70594,OBESITY + RENAL_CHRONIC,1_0,1.0,,,,0.0,,,
,,0.15328467153284672,411,ASTHMA + OTHER_DISEASE,1_1,,,1.0,,,,,1.0
,,0.15265606404846913,27729,ASTHMA + TOBACCO,0_1,,,0.0,,,,1.0,
,,0.14898845989457188,28076,INMSUPR + TOBACCO,0_1,,,,,,0.0,1.0,
,,0.1471536761242164,27597,TOBACCO + OTHER_DISEASE,1_0,,,,,,,1.0,0.0
,,0.14435351882160394,3055,OBESITY + ASTHMA,1_1,1.0,,1.0,,,,,
,,0.14372388737511355,27525,CARDIOVASCULAR + TOBACCO,0_1,,,,0.0,,,1.0,
,,0.14356703035540672,27771,RENAL_CHRONIC + TOBACCO,0_1,,,,,0.0,,1.0,
,,0.142254074219517,20372,OBESITY + TOBACCO,0_1,0.0,,,,,,1.0,
,,0.13942078863544832,27313,COPD + TOBACCO,0_1,,0.0,,,,,1.0,
0.0,,0.1386370655669204,55043,DIABETES + OBESITY,0_1,1.0,,,,,,,
,,0.1369811858608894,350800,ASTHMA + TOBACCO,0_0,,,0.0,,,,0.0,
,,0.13618417007717415,374089,ASTHMA + INMSUPR,0_0,,,0.0,,,0.0,,
,,0.13467646644335318,368988,ASTHMA + OTHER_DISEASE,0_0,,,0.0,,,,,0.0
,,0.134196070501803,356076,INMSUPR + TOBACCO,0_0,,,,,,0.0,0.0,
,,0.13382978381074456,372914,COPD + ASTHMA,0_0,,0.0,0.0,,,,,
,,0.13377398363890067,370513,ASTHMA + CARDIOVASCULAR,0_0,,,0.0,0.0,,,,
,,0.13276293431018435,351333,TOBACCO + OTHER_DISEASE,0_0,,,,,,,0.0,0.0
,,0.13233246411301552,355491,COPD + TOBACCO,0_0,,0.0,,,,,0.0,
,,0.13223303559525396,375050,INMSUPR + OTHER_DISEASE,0_0,,,,,,0.0,,0.0
,,0.13199202126152468,352938,CARDIOVASCULAR + TOBACCO,0_0,,,,0.0,,,0.0,
,,0.13167246353366227,370890,ASTHMA + RENAL_CHRONIC,0_0,,,0.0,,0.0,,,
,,0.1311174730261007,376197,CARDIOVASCULAR + INMSUPR,0_0,,,,0.0,,0.0,,
,,0.1310456540523686,378433,COPD + INMSUPR,0_0,,0.0,,,,0.0,,
,0.0,0.13025974291378006,48933,HIPERTENSION + OBESITY,0_1,1.0,,,,,,,
,,0.12979236618745363,353218,RENAL_CHRONIC + TOBACCO,0_0,,,,,0.0,,0.0,
,,0.12977142410833317,371299,CARDIOVASCULAR + OTHER_DISEASE,0_0,,,,0.0,,,,0.0
,,0.12961682929050994,373254,COPD + OTHER_DISEASE,0_0,,0.0,,,,,,0.0
,,0.12929641802685088,376971,RENAL_CHRONIC + INMSUPR,0_0,,,,,0.0,0.0,,
,,0.1289804969973852,375173,COPD + CARDIOVASCULAR,0_0,,0.0,,0.0,,,,
,,0.12812132262611373,309324,OBESITY + ASTHMA,0_0,0.0,,0.0,,,,,
,,0.12775282984854558,371663,RENAL_CHRONIC + OTHER_DISEASE,0_0,,,,,0.0,,,0.0
,,0.12706487108778883,373510,CARDIOVASCULAR + RENAL_CHRONIC,0_0,,,,0.0,0.0,,,
,,0.12671118842185738,375397,COPD + RENAL_CHRONIC,0_0,,0.0,,,0.0,,,
,,0.12612995780590716,296250,OBESITY + TOBACCO,0_0,0.0,,,,,,0.0,
,,0.12532902302522297,313048,OBESITY + INMSUPR,0_0,0.0,,,,,0.0,,
,,0.12384391847724081,309018,OBESITY + OTHER_DISEASE,0_0,0.0,,,,,,,0.0
,,0.12353699838221531,310919,OBESITY + CARDIOVASCULAR,0_0,0.0,,,0.0,,,,
,,0.12312894023174727,312323,OBESITY + COPD,0_0,0.0,0.0,,,,,,
,,0.12088145749770454,310395,OBESITY + RENAL_CHRONIC,0_0,0.0,,,,0.0,,,
,,0.11179361179361179,814,ASTHMA + TOBACCO,1_1,,,1.0,,,,1.0,
0.0,,0.10975609756097561,23534,DIABETES + TOBACCO,0_1,,,,,,,1.0,
,0.0,0.10510510510510511,22644,HIPERTENSION + TOBACCO,0_1,,,,,,,1.0,
,,0.10305063423838977,9539,ASTHMA + TOBACCO,1_0,,,1.0,,,,0.0,
0.0,,0.10238793227914451,318602,DIABETES + ASTHMA,0_0,,,0.0,,,,,
,,0.10168980084490042,9942,ASTHMA + OTHER_DISEASE,1_0,,,1.0,,,,,0.0
,,0.10156017092318394,10063,ASTHMA + INMSUPR,1_0,,,1.0,,,0.0,,
0.0,,0.10107742156423698,303688,DIABETES + TOBACCO,0_0,,,,,,,0.0,
0.0,,0.10041349091245719,324070,DIABETES + INMSUPR,0_0,,,,,,0.0,,
0.0,,0.09913433555155987,323682,DIABETES + RENAL_CHRONIC,0_0,,,,,0.0,,,
