DIABETES,HIPERTENSION,OBESITY,death_rate,n,features,combo,COPD,ASTHMA,CARDIOVASCULAR,RENAL_CHRONIC,INMSUPR,TOBACCO,OTHER_DISEASE
,,,0.43064369900271987,1103,COPD + TOBACCO + OTHER_DISEASE,1_1_0,1.0,,,,,1.0,0.0
,,0.0,0.43033902499381343,4041,OBESITY + COPD + ASTHMA,0_1_0,1.0,0.0,,,,,
,,0.0,0.42971887550200805,498,OBESITY + RENAL_CHRONIC + INMSUPR,0_1_1,,,,1.0,1.0,,
1.0,1.0,,0.4292701279157261,2658,DIABETES + HIPERTENSION + CARDIOVASCULAR,1_1_1,,,1.0,,,,
,0.0,,0.42857142857142855,112,HIPERTENSION + COPD + RENAL_CHRONIC,0_1_1,1.0,,,1.0,,,
1.0,,,0.4283121597096189,551,DIABETES + COPD + TOBACCO,1_1_1,1.0,,,,,1.0,
1.0,,,0.42759706190975866,1906,DIABETES + RENAL_CHRONIC + OTHER_DISEASE,1_0_1,,,,0.0,,,1.0
1.0,,,0.4270516717325228,1316,DIABETES + INMSUPR + OTHER_DISEASE,1_1_0,,,,,1.0,,0.0
,,,0.4251968503937008,254,COPD + INMSUPR + OTHER_DISEASE,1_1_0,1.0,,,,1.0,,0.0
1.0,,,0.42505430847212167,1381,DIABETES + INMSUPR + TOBACCO,1_1_0,,,,,1.0,0.0,
,1.0,,0.4239011986923356,2753,HIPERTENSION + TOBACCO + OTHER_DISEASE,1_0_1,,,,,,0.0,1.0
1.0,,,0.4235294117647059,255,DIABETES + CARDIOVASCULAR + INMSUPR,1_1_1,,,1.0,,1.0,,
,,1.0,0.42346938775510207,196,OBESITY + RENAL_CHRONIC + OTHER_DISEASE,1_1_1,,,,1.0,,,1.0
,,,0.42336448598130844,1070,COPD + RENAL_CHRONIC + TOBACCO,1_0_1,1.0,,,0.0,,1.0,
1.0,,,0.4227941176470588,1360,DIABETES + COPD + INMSUPR,1_0_1,0.0,,,,1.0,,
1.0,,0.0,0.42274881516587676,1055,DIABETES + OBESITY + INMSUPR,1_0_1,,,,,1.0,,
,,0.0,0.4222385500857213,4083,OBESITY + COPD + INMSUPR,0_1_0,1.0,,,,0.0,,
,,,0.4222222222222222,315,CARDIOVASCULAR + INMSUPR + OTHER_DISEASE,1_1_0,,,1.0,,1.0,,0.0
,1.0,1.0,0.4221824686940966,1118,HIPERTENSION + OBESITY + COPD,1_1_1,1.0,,,,,,
,,,0.42125837676842887,5372,COPD + ASTHMA + INMSUPR,1_0_0,1.0,0.0,,,0.0,,
,,,0.4207492795389049,347,CARDIOVASCULAR + INMSUPR + TOBACCO,1_1_0,,,1.0,,1.0,0.0,
,1.0,,0.4205238607822031,2787,HIPERTENSION + INMSUPR + OTHER_DISEASE,1_0_1,,,,,0.0,,1.0
1.0,,,0.42038018074166406,3209,DIABETES + ASTHMA + CARDIOVASCULAR,1_0_1,,0.0,1.0,,,,
,1.0,,0.4202600958247775,1461,HIPERTENSION + ASTHMA + INMSUPR,1_0_1,,0.0,,,1.0,,
,0.0,,0.4198895027624309,181,HIPERTENSION + RENAL_CHRONIC + OTHER_DISEASE,0_1_1,,,,1.0,,,1.0
0.0,1.0,,0.4198736358414704,1741,DIABETES + HIPERTENSION + RENAL_CHRONIC,0_1_1,,,,1.0,,,
1.0,,,0.419811320754717,212,DIABETES + COPD + OTHER_DISEASE,1_1_1,1.0,,,,,,1.0
,,,0.41935483870967744,248,COPD + RENAL_CHRONIC + INMSUPR,1_0_1,1.0,,,0.0,1.0,,
,1.0,,0.41897081413210446,2604,HIPERTENSION + CARDIOVASCULAR + OTHER_DISEASE,1_0_1,,,0.0,,,,1.0
,,,0.41806908768821965,4516,COPD + ASTHMA + TOBACCO,1_0_0,1.0,0.0,,,,0.0,
1.0,,0.0,0.41761363636363635,2112,DIABETES + OBESITY + CARDIOVASCULAR,1_0_1,,,1.0,,,,
,,,0.41729607250755285,5296,COPD + ASTHMA + OTHER_DISEASE,1_0_0,1.0,0.0,,,,,0.0
,1.0,,0.4172876304023845,671,HIPERTENSION + CARDIOVASCULAR + TOBACCO,1_1_1,,,1.0,,,1.0,
,1.0,,0.416,500,HIPERTENSION + CARDIOVASCULAR + OTHER_DISEASE,1_1_1,,,1.0,,,,1.0
,1.0,,0.4153737658674189,2836,HIPERTENSION + COPD + OTHER_DISEASE,1_0_1,0.0,,,,,,1.0
,,0.0,0.4151082677165354,4064,OBESITY + COPD + OTHER_DISEASE,0_1_0,1.0,,,,,,0.0
,,,0.41498384491114704,4952,COPD + ASTHMA + CARDIOVASCULAR,1_0_0,1.0,0.0,0.0,,,,
,,1.0,0.41496598639455784,294,OBESITY + RENAL_CHRONIC + TOBACCO,1_1_1,,,,1.0,,1.0,
1.0,,,0.41431670281995664,461,DIABETES + CARDIOVASCULAR + TOBACCO,1_1_1,,,1.0,,,1.0,
,,0.0,0.41424501424501425,3510,OBESITY + COPD + TOBACCO,0_1_0,1.0,,,,,0.0,
1.0,,,0.41345427059712775,1323,DIABETES + CARDIOVASCULAR + INMSUPR,1_0_1,,,0.0,,1.0,,
,,,0.4130601302183072,5222,COPD + ASTHMA + RENAL_CHRONIC,1_0_0,1.0,0.0,,0.0,,,
1.0,,,0.41297935103244837,339,DIABETES + CARDIOVASCULAR + OTHER_DISEASE,1_1_1,,,1.0,,,,1.0
1.0,,,0.4128738621586476,3076,DIABETES + CARDIOVASCULAR + OTHER_DISEASE,1_1_0,,,1.0,,,,0.0
1.0,,,0.4126607989167231,2954,DIABETES + CARDIOVASCULAR + TOBACCO,1_1_0,,,1.0,,,0.0,
0.0,,,0.41237113402061853,679,DIABETES + COPD + TOBACCO,0_1_1,1.0,,,,,1.0,
1.0,,,0.4120253164556962,3160,DIABETES + CARDIOVASCULAR + INMSUPR,1_1_0,,,1.0,,0.0,,
,,,0.41194029850746267,335,COPD + CARDIOVASCULAR + INMSUPR,0_1_1,0.0,,1.0,,1.0,,
,,0.0,0.4119332985930172,3838,OBESITY + COPD + CARDIOVASCULAR,0_1_0,1.0,,0.0,,,,
,,,0.41135674035543995,4614,COPD + INMSUPR + TOBACCO,1_0_0,1.0,,,,0.0,0.0,
,,0.0,0.41132264529058116,3992,OBESITY + COPD + RENAL_CHRONIC,0_1_0,1.0,,,0.0,,,
,,1.0,0.411214953271028,214,OBESITY + RENAL_CHRONIC + INMSUPR,1_1_1,,,,1.0,1.0,,
,,,0.4093484419263456,706,ASTHMA + CARDIOVASCULAR + OTHER_DISEASE,0_1_1,,0.0,1.0,,,,1.0
,,,0.40888970859461454,5422,COPD + INMSUPR + OTHER_DISEASE,1_0_0,1.0,,,,0.0,,0.0
,0.0,,0.4088888888888889,225,HIPERTENSION + RENAL_CHRONIC + INMSUPR,0_1_1,,,,1.0,1.0,,
,,,0.40869565217391307,230,COPD + CARDIOVASCULAR + INMSUPR,1_0_1,1.0,,0.0,,1.0,,
